Employee Number,Retention,Age,Gender,Education,Marital Status,Distance From Home,Hourly Rate,Daily Rate,Monthly Rate,Monthly Income,Percent Salary Hike,Education Field,Department,Job Role,Performance Rating,Standard Hours,Stock Option Level,BusinessTravel,Training Times Last Year,Over Time,Job Satisfaction,Job Involvement,Relationship Satisfaction,Environment Satisfaction,Work Life Balance,Num Companies Worked,Total Working Years,Years At Company,Job Level,Years Since Last Promotion,Years In Current Role,Years With Current Manager
21,1,32,1,2,Divorced,5,80,334,15053,3298,12,Life Sciences,Research & Development,Research Scientist,3,80,2,Travel_Rarely,5,1,2,4,4,1,2,0,7,6,1,0,2,5
22,1,22,1,2,Divorced,16,96,1123,7324,2935,13,Medical,Research & Development,Laboratory Technician,3,80,2,Non-Travel,2,1,4,4,2,4,2,1,1,1,1,0,0,0
23,1,53,0,4,Married,2,78,1219,22021,15427,16,Life Sciences,Sales,Manager,3,80,0,Travel_Rarely,3,0,4,2,3,1,3,2,31,25,4,3,8,7
24,1,38,1,3,Single,2,45,371,4306,3944,11,Life Sciences,Research & Development,Research Scientist,3,80,0,Travel_Rarely,3,1,4,3,3,4,3,5,6,3,1,1,2,2
26,1,24,0,2,Divorced,11,96,673,8232,4011,18,Other,Research & Development,Manufacturing Director,3,80,1,Non-Travel,5,0,3,4,4,1,2,0,5,4,2,1,2,3
27,0,36,1,4,Single,9,82,1218,6986,3407,23,Life Sciences,Sales,Sales Representative,4,80,0,Travel_Rarely,4,0,1,2,2,3,3,7,10,5,1,0,3,3
28,1,34,0,4,Single,7,53,419,21293,11994,11,Life Sciences,Research & Development,Research Director,3,80,0,Travel_Rarely,4,0,2,3,3,1,3,0,13,12,3,2,6,11
30,1,21,1,2,Single,15,96,391,19281,1232,14,Life Sciences,Research & Development,Research Scientist,3,80,0,Travel_Rarely,6,0,4,3,4,3,3,1,0,0,1,0,0,0
31,0,34,1,1,Single,6,83,699,17102,2960,11,Medical,Research & Development,Research Scientist,3,80,0,Travel_Rarely,2,0,1,3,3,2,3,2,8,4,1,1,2,3
32,1,53,0,3,Divorced,5,58,1282,10735,19094,11,Other,Research & Development,Manager,3,80,1,Travel_Rarely,3,0,3,3,4,3,2,4,26,14,5,4,13,8
33,0,32,0,1,Single,16,72,1125,4681,3919,22,Life Sciences,Research & Development,Research Scientist,4,80,0,Travel_Frequently,5,1,1,1,2,2,3,1,10,10,1,6,2,7
35,1,42,1,4,Married,8,48,691,21173,6825,11,Marketing,Sales,Sales Executive,3,80,1,Travel_Rarely,2,0,2,3,4,3,3,0,10,9,2,4,7,2
36,1,44,0,4,Married,7,42,477,2094,10248,14,Medical,Research & Development,Healthcare Representative,3,80,1,Travel_Rarely,4,0,4,2,4,1,3,3,24,22,3,5,6,17
38,1,46,0,4,Single,2,83,705,22822,18947,12,Marketing,Sales,Manager,3,80,0,Travel_Rarely,2,0,1,3,4,2,2,3,22,2,5,2,2,1
39,1,33,1,3,Single,2,78,924,6670,2496,11,Medical,Research & Development,Laboratory Technician,3,80,0,Travel_Rarely,3,0,4,3,4,3,3,4,7,1,1,0,1,0
40,1,44,1,4,Married,10,41,1459,19121,6465,13,Other,Research & Development,Healthcare Representative,3,80,0,Travel_Rarely,5,1,4,3,4,4,4,2,9,4,2,1,2,3
41,1,30,1,2,Single,9,83,125,16117,2206,13,Medical,Research & Development,Laboratory Technician,3,80,0,Travel_Rarely,5,0,3,2,1,4,3,1,10,10,1,1,0,8
42,0,39,1,3,Married,5,56,895,3335,2086,14,Technical Degree,Sales,Sales Representative,3,80,1,Travel_Rarely,6,0,4,3,3,4,4,3,19,1,2,0,0,0
45,0,24,1,3,Married,1,61,813,3020,2293,16,Medical,Research & Development,Research Scientist,3,80,1,Travel_Rarely,2,1,4,3,1,2,2,2,6,2,1,2,0,0
46,1,43,0,2,Divorced,2,72,1273,21923,2645,12,Medical,Research & Development,Research Scientist,3,80,2,Travel_Rarely,3,0,3,4,4,4,2,1,6,5,1,1,3,4
47,0,50,1,2,Married,3,86,869,3810,2683,14,Marketing,Sales,Sales Representative,3,80,0,Travel_Rarely,2,1,3,2,3,1,3,1,3,3,1,0,2,2
49,1,35,0,3,Married,2,97,890,9687,2014,13,Marketing,Sales,Sales Representative,3,80,0,Travel_Rarely,3,0,4,3,1,4,3,1,2,2,1,2,2,2
51,1,36,0,4,Married,5,82,852,13072,3419,14,Life Sciences,Research & Development,Research Scientist,3,80,1,Travel_Rarely,3,1,1,2,4,2,4,9,6,1,1,0,1,0
52,1,33,0,3,Married,1,42,1141,3193,5376,19,Life Sciences,Sales,Sales Executive,3,80,2,Travel_Frequently,3,0,1,4,1,3,3,2,10,5,2,1,3,3
53,1,35,1,2,Divorced,4,75,464,10910,1951,12,Other,Research & Development,Laboratory Technician,3,80,1,Travel_Rarely,3,0,4,3,3,3,3,1,1,1,1,0,0,0
54,1,27,0,4,Divorced,2,33,1240,19715,2341,13,Life Sciences,Research & Development,Laboratory Technician,3,80,1,Travel_Rarely,6,0,1,3,4,4,3,1,1,1,1,0,0,0
55,0,26,1,3,Single,25,48,1357,10558,2293,12,Life Sciences,Research & Development,Laboratory Technician,3,80,0,Travel_Rarely,2,0,3,1,3,1,2,1,1,1,1,0,0,1
56,1,27,1,3,Single,8,37,994,2975,8726,15,Life Sciences,Sales,Sales Executive,3,80,0,Travel_Frequently,0,0,3,3,4,4,3,1,9,9,3,1,8,7
57,1,30,0,2,Single,1,58,721,10781,4011,23,Medical,Research & Development,Laboratory Technician,4,80,0,Travel_Frequently,2,0,4,3,4,3,3,1,12,12,2,3,8,7
58,0,41,0,3,Married,12,49,1360,16280,19545,12,Technical Degree,Research & Development,Research Director,3,80,0,Travel_Rarely,0,0,3,3,4,2,3,1,23,22,5,15,15,8
60,1,34,1,4,Single,23,72,1065,10034,4568,20,Marketing,Sales,Sales Executive,4,80,0,Non-Travel,2,0,3,3,3,2,3,0,10,9,2,8,5,7
61,1,37,1,2,Married,19,73,408,10227,3022,21,Life Sciences,Research & Development,Research Scientist,4,80,0,Travel_Rarely,1,0,2,3,1,2,3,4,8,1,1,0,0,0
62,1,46,1,4,Single,5,98,1211,20445,5772,21,Marketing,Sales,Sales Executive,4,80,0,Travel_Frequently,4,1,4,3,3,1,3,4,14,9,2,0,6,8
63,1,35,1,1,Married,8,36,1229,4892,2269,19,Life Sciences,Research & Development,Laboratory Technician,3,80,0,Travel_Rarely,2,0,4,4,4,4,3,1,1,1,1,0,0,1
64,0,48,1,2,Single,1,98,626,19294,5381,13,Life Sciences,Research & Development,Laboratory Technician,3,80,0,Travel_Rarely,2,1,3,2,4,1,3,9,23,1,3,0,0,0
65,0,28,1,4,Single,5,50,1434,11179,3441,13,Technical Degree,Research & Development,Laboratory Technician,3,80,0,Travel_Rarely,3,1,3,3,3,3,2,1,2,2,1,2,2,2
68,1,44,0,5,Divorced,1,75,1488,4009,5454,21,Marketing,Sales,Sales Executive,4,80,1,Travel_Rarely,2,1,1,3,3,2,2,5,9,4,2,1,3,3
70,1,35,1,2,Married,11,79,1097,8302,9884,13,Medical,Research & Development,Healthcare Representative,3,80,1,Non-Travel,3,1,1,2,3,3,3,2,10,4,3,2,0,3
72,1,26,0,3,Married,23,47,1443,21436,4157,19,Marketing,Sales,Sales Executive,3,80,1,Travel_Rarely,2,1,4,2,3,3,2,7,5,2,2,0,2,0
73,1,33,0,2,Single,1,98,515,15146,13458,12,Life Sciences,Research & Development,Research Director,3,80,0,Travel_Frequently,1,1,4,3,3,1,3,1,15,15,3,8,14,12
74,1,35,1,5,Married,18,71,853,11031,9069,22,Life Sciences,Sales,Sales Executive,4,80,1,Travel_Frequently,3,0,1,3,4,2,2,1,9,9,3,1,8,8
75,1,35,0,4,Married,23,30,1142,16002,4014,15,Medical,Research & Development,Laboratory Technician,3,80,1,Travel_Rarely,3,1,1,3,3,3,3,3,4,2,1,2,2,2
76,1,31,1,4,Divorced,7,48,655,9528,5915,22,Life Sciences,Research & Development,Laboratory Technician,4,80,1,Travel_Rarely,3,0,4,3,4,4,2,3,10,7,2,1,7,7
77,1,37,1,4,Divorced,1,51,1115,2689,5993,18,Life Sciences,Research & Development,Manufacturing Director,3,80,1,Travel_Rarely,2,0,3,2,3,1,4,1,7,7,2,0,5,7
78,1,32,1,3,Married,1,33,427,10877,6162,22,Medical,Research & Development,Manufacturing Director,4,80,1,Travel_Rarely,3,1,4,3,2,1,3,1,9,9,2,7,8,8
79,1,38,0,5,Single,29,50,653,5456,2406,11,Life Sciences,Research & Development,Laboratory Technician,3,80,0,Travel_Frequently,2,0,4,3,4,4,3,1,10,10,2,9,3,9
80,1,50,0,2,Divorced,7,43,989,16701,18740,12,Medical,Research & Development,Research Director,3,80,1,Travel_Rarely,2,1,3,2,4,2,2,5,29,27,5,13,3,8
81,1,59,0,3,Single,25,99,1435,2354,7637,11,Life Sciences,Sales,Sales Executive,3,80,0,Travel_Rarely,3,0,1,3,4,1,2,7,28,21,3,7,16,9
83,1,36,0,3,Divorced,8,59,1223,8202,10096,13,Technical Degree,Research & Development,Healthcare Representative,3,80,3,Travel_Rarely,2,0,3,3,2,3,3,1,17,17,3,12,14,8
84,1,55,0,3,Divorced,8,33,836,19730,14756,14,Medical,Research & Development,Manager,3,80,3,Travel_Rarely,2,1,3,3,3,4,3,2,21,5,4,0,0,2
85,1,36,1,3,Single,11,95,1195,22656,6499,13,Life Sciences,Research & Development,Manufacturing Director,3,80,0,Travel_Frequently,3,0,2,2,3,2,3,1,6,6,2,0,5,3
86,1,45,1,3,Divorced,7,59,1339,18787,9724,17,Life Sciences,Research & Development,Research Scientist,3,80,1,Travel_Rarely,2,0,1,3,3,2,3,2,25,1,3,0,0,0
88,1,35,1,3,Married,1,79,664,5868,2194,13,Medical,Research & Development,Research Scientist,3,80,1,Travel_Frequently,2,0,1,3,4,2,2,4,5,3,1,1,2,2
90,0,36,1,3,Married,9,79,318,21777,3388,17,Medical,Research & Development,Research Scientist,3,80,1,Travel_Rarely,0,1,3,2,1,4,2,0,2,1,1,0,0,0
91,1,59,0,1,Single,1,57,1225,24668,5473,11,Life Sciences,Sales,Sales Executive,3,80,0,Travel_Frequently,2,0,3,2,4,1,2,7,20,4,2,1,3,3
94,1,29,1,3,Married,2,76,1328,4956,2703,23,Life Sciences,Research & Development,Research Scientist,4,80,1,Travel_Rarely,3,0,2,3,4,3,3,0,6,5,1,0,4,4
95,1,31,1,4,Single,1,87,1082,18775,2501,17,Medical,Research & Development,Research Scientist,3,80,0,Travel_Rarely,4,0,2,3,2,3,3,1,1,1,1,1,1,0
96,1,32,1,3,Married,1,66,548,7346,6220,17,Life Sciences,Research & Development,Research Scientist,3,80,2,Travel_Rarely,3,0,2,3,2,2,3,1,10,10,2,0,4,9
97,1,36,0,3,Married,6,55,132,22002,3038,12,Life Sciences,Research & Development,Laboratory Technician,3,80,0,Travel_Rarely,3,0,4,4,2,2,3,3,5,1,1,0,0,0
98,1,31,0,4,Single,8,61,746,20682,4424,23,Life Sciences,Research & Development,Manufacturing Director,4,80,0,Travel_Rarely,2,0,4,3,4,3,3,1,11,11,2,1,7,8
100,1,35,1,4,Single,1,32,776,23016,4312,14,Marketing,Sales,Sales Executive,3,80,0,Travel_Rarely,2,0,1,2,2,3,3,0,16,15,2,2,13,8
101,1,45,1,4,Married,6,52,193,15067,13245,14,Other,Research & Development,Research Director,3,80,0,Travel_Rarely,3,1,1,3,2,4,4,4,17,0,3,0,0,0
102,1,37,1,4,Single,7,30,397,25258,13664,13,Medical,Research & Development,Research Director,3,80,0,Travel_Rarely,3,0,3,3,1,1,4,4,16,5,3,0,2,2
103,1,46,1,2,Divorced,5,80,945,10425,5021,22,Medical,Human Resources,Human Resources,4,80,1,Travel_Rarely,2,1,2,3,4,2,3,8,16,4,2,0,2,2
104,1,30,1,1,Married,1,55,852,15998,5126,12,Life Sciences,Research & Development,Laboratory Technician,3,80,2,Travel_Rarely,1,1,4,2,3,4,2,1,10,10,2,3,8,0
105,1,35,1,3,Single,1,30,1214,26278,2859,18,Medical,Research & Development,Research Scientist,3,80,0,Travel_Rarely,3,0,3,2,1,2,3,1,6,6,1,0,4,4
106,1,55,1,2,Married,1,70,111,18092,10239,14,Life Sciences,Sales,Sales Executive,3,80,1,Travel_Rarely,4,0,4,3,4,1,3,3,24,1,3,1,0,0
107,1,38,0,3,Divorced,6,79,573,15717,5329,12,Medical,Research & Development,Research Scientist,3,80,3,Non-Travel,3,1,4,1,4,2,3,7,17,13,2,1,11,9
110,1,34,1,2,Married,1,94,1153,17736,4325,15,Medical,Research & Development,Manufacturing Director,3,80,0,Travel_Rarely,2,0,2,3,3,1,3,1,5,5,2,1,2,3
112,1,56,1,3,Single,7,49,1400,21698,7260,11,Life Sciences,Research & Development,Manufacturing Director,3,80,0,Travel_Rarely,3,0,4,1,1,4,2,4,37,6,3,0,4,2
113,1,23,1,1,Divorced,2,62,541,9518,2322,13,Technical Degree,Sales,Sales Representative,3,80,1,Travel_Rarely,3,0,1,3,3,3,3,3,3,0,1,0,0,0
116,1,51,1,4,Married,9,96,432,18725,2075,23,Life Sciences,Research & Development,Laboratory Technician,4,80,2,Travel_Rarely,4,0,4,3,2,4,3,3,10,4,1,0,2,3
117,1,30,1,3,Married,2,99,288,15830,4152,19,Life Sciences,Research & Development,Healthcare Representative,3,80,3,Travel_Rarely,3,0,4,2,1,3,3,1,11,11,2,10,10,8
118,0,46,1,2,Single,9,64,669,13596,9619,16,Medical,Sales,Sales Executive,3,80,0,Travel_Rarely,3,0,4,2,4,3,3,1,9,9,3,4,8,7
119,1,40,1,4,Married,1,78,530,14115,13503,22,Life Sciences,Research & Development,Healthcare Representative,4,80,1,Travel_Frequently,3,0,2,2,4,3,2,1,22,22,4,11,3,11
120,1,51,1,4,Single,21,71,632,8423,5441,22,Marketing,Sales,Sales Executive,4,80,0,Travel_Rarely,2,1,4,3,4,3,1,0,11,10,2,1,7,0
121,1,30,0,2,Divorced,4,63,1334,19760,5209,12,Medical,Sales,Sales Executive,3,80,3,Travel_Rarely,4,1,2,2,2,3,2,1,11,11,2,2,8,7
124,1,46,1,3,Married,1,40,638,3142,10673,13,Medical,Research & Development,Healthcare Representative,3,80,1,Travel_Frequently,5,1,1,2,3,3,2,2,21,10,3,9,9,5
125,1,32,1,4,Single,6,87,1093,24301,5010,16,Medical,Sales,Sales Executive,3,80,0,Travel_Rarely,0,0,3,3,1,2,3,1,12,11,2,5,8,7
126,1,54,0,4,Married,2,60,1217,24001,13549,12,Technical Degree,Research & Development,Research Director,3,80,1,Travel_Rarely,5,0,3,3,1,1,1,9,16,4,3,0,3,3
128,1,24,0,2,Married,3,33,1353,17519,4999,21,Other,Sales,Sales Executive,4,80,1,Travel_Rarely,2,0,3,3,1,1,2,0,4,3,2,0,2,2
129,1,28,1,3,Married,4,43,120,8863,4221,15,Medical,Sales,Sales Executive,3,80,0,Non-Travel,3,0,3,3,2,2,4,1,5,5,2,0,4,4
131,1,58,1,4,Single,10,37,682,24409,13872,13,Medical,Sales,Sales Executive,3,80,0,Travel_Rarely,1,0,3,3,3,4,2,0,38,37,4,1,10,8
132,1,44,1,3,Married,23,67,489,25043,2042,12,Medical,Research & Development,Laboratory Technician,3,80,1,Non-Travel,3,0,2,3,3,2,4,4,17,3,2,1,2,2
133,0,37,1,4,Divorced,6,63,807,23648,2073,22,Human Resources,Human Resources,Human Resources,4,80,0,Travel_Rarely,3,1,1,3,4,3,3,4,7,3,1,0,2,2
134,1,32,1,1,Single,1,71,827,15178,2956,13,Life Sciences,Research & Development,Research Scientist,3,80,0,Travel_Rarely,2,0,1,3,4,4,3,1,1,1,1,0,0,0
137,0,20,0,3,Single,6,66,871,19783,2926,18,Life Sciences,Research & Development,Laboratory Technician,3,80,0,Travel_Frequently,5,1,4,2,2,4,3,1,1,1,1,1,0,0
138,1,34,0,4,Single,6,41,665,12482,4809,14,Other,Research & Development,Research Scientist,3,80,0,Travel_Rarely,3,0,3,3,3,1,3,1,16,16,2,2,13,10
139,1,37,1,2,Divorced,2,100,1040,15850,5163,14,Life Sciences,Research & Development,Healthcare Representative,3,80,1,Non-Travel,2,0,4,2,4,3,4,5,17,1,2,0,0,0
140,1,59,0,4,Married,2,32,1420,21922,18844,21,Human Resources,Human Resources,Manager,4,80,1,Non-Travel,3,0,4,2,4,3,3,9,30,3,5,2,2,2
141,1,50,0,3,Married,1,73,1115,9755,18172,19,Life Sciences,Research & Development,Research Director,3,80,0,Travel_Frequently,1,1,2,3,1,1,2,3,28,8,5,0,3,7
142,0,25,1,3,Single,5,46,240,26959,5744,11,Marketing,Sales,Sales Executive,3,80,0,Travel_Rarely,1,1,3,2,4,3,3,1,6,6,2,0,4,3
143,1,25,1,1,Married,7,64,1280,26897,2889,11,Medical,Research & Development,Research Scientist,3,80,2,Travel_Rarely,2,0,4,2,3,4,3,1,2,2,1,2,2,1
144,1,22,0,3,Single,15,59,534,23785,2871,15,Medical,Research & Development,Laboratory Technician,3,80,0,Travel_Rarely,5,0,4,3,3,2,3,1,1,0,1,0,0,0
145,1,51,0,4,Single,1,30,1456,25796,7484,20,Medical,Research & Development,Healthcare Representative,4,80,0,Travel_Frequently,1,0,1,2,3,1,2,3,23,13,3,12,12,8
147,0,34,1,3,Single,7,66,658,22887,6074,24,Life Sciences,Research & Development,Laboratory Technician,4,80,0,Travel_Frequently,3,1,3,1,4,1,3,1,9,9,2,0,7,6
148,1,54,0,3,Single,26,30,142,13871,17328,12,Human Resources,Human Resources,Manager,3,80,0,Non-Travel,3,1,4,4,3,4,3,2,23,5,4,4,3,4
150,1,24,1,1,Married,18,52,1127,13257,2774,12,Life Sciences,Research & Development,Laboratory Technician,3,80,1,Travel_Rarely,2,0,3,3,3,2,3,0,6,5,1,1,3,2
151,1,34,0,4,Divorced,6,45,1031,15000,4505,15,Life Sciences,Research & Development,Research Scientist,3,80,1,Travel_Rarely,3,0,2,2,3,3,3,6,12,1,2,0,0,0
152,1,37,1,3,Single,3,87,1189,14506,7428,12,Life Sciences,Sales,Sales Executive,3,80,0,Travel_Rarely,3,0,4,3,1,3,3,2,12,5,3,1,3,3
153,1,34,0,3,Single,5,45,1354,5615,11631,12,Medical,Research & Development,Manager,3,80,0,Travel_Rarely,6,0,1,2,4,3,3,2,14,11,3,5,10,8
154,1,36,0,2,Married,11,92,1467,22952,9738,14,Technical Degree,Sales,Sales Executive,3,80,1,Travel_Frequently,6,0,4,3,3,2,3,0,10,9,3,2,7,8
155,1,36,0,2,Divorced,3,39,922,2561,2835,22,Life Sciences,Research & Development,Laboratory Technician,4,80,1,Travel_Rarely,2,0,4,3,1,1,3,5,7,1,1,0,0,0
158,1,43,1,2,Married,26,92,394,19494,16959,12,Life Sciences,Sales,Manager,3,80,2,Travel_Frequently,3,1,4,3,4,3,4,1,25,25,4,4,12,12
159,1,30,1,3,Divorced,23,96,1312,22310,2613,25,Life Sciences,Research & Development,Research Scientist,4,80,3,Travel_Frequently,2,0,3,1,3,1,2,1,10,10,1,0,7,9
160,1,33,1,2,Married,22,95,750,15480,6146,13,Marketing,Sales,Sales Executive,3,80,1,Non-Travel,2,0,2,3,1,3,4,0,8,7,2,0,7,7
161,0,56,0,4,Married,14,72,441,4510,4963,18,Life Sciences,Research & Development,Research Scientist,3,80,3,Travel_Rarely,2,1,2,3,1,2,3,9,7,5,1,4,4,3
162,1,51,1,3,Single,6,51,684,6462,19537,13,Life Sciences,Research & Development,Research Director,3,80,0,Travel_Rarely,5,0,3,3,3,1,3,7,23,20,5,15,18,15
163,0,31,1,4,Married,6,76,249,20739,6172,18,Life Sciences,Sales,Sales Executive,3,80,0,Travel_Rarely,3,1,3,1,2,2,2,4,12,7,2,7,7,7
164,1,26,0,3,Married,6,46,841,23300,2368,19,Other,Research & Development,Research Scientist,3,80,0,Travel_Rarely,3,0,2,2,3,3,2,1,5,5,1,4,4,3
165,0,58,0,4,Married,23,94,147,3465,10312,12,Medical,Research & Development,Healthcare Representative,3,80,1,Travel_Rarely,3,0,4,3,4,4,2,1,40,40,3,15,10,6
167,0,19,1,1,Single,22,50,528,26820,1675,19,Marketing,Sales,Sales Representative,3,80,0,Travel_Rarely,2,1,3,3,4,4,2,1,0,0,1,0,0,0
169,1,22,1,1,Married,2,100,594,19299,2523,14,Technical Degree,Research & Development,Laboratory Technician,3,80,1,Travel_Rarely,2,0,4,3,3,3,3,0,3,2,1,2,1,1
170,1,49,0,4,Married,20,96,470,5549,6567,14,Medical,Research & Development,Manufacturing Director,3,80,0,Travel_Rarely,2,0,1,3,3,3,2,1,16,15,2,5,11,11
171,1,43,0,3,Single,28,72,957,16090,4739,12,Medical,Research & Development,Research Scientist,3,80,0,Travel_Frequently,2,0,3,4,4,2,3,4,18,3,1,1,2,2
174,1,50,0,3,Single,12,77,809,6645,9208,11,Marketing,Sales,Sales Executive,3,80,0,Travel_Frequently,3,0,4,3,4,3,3,4,16,2,3,2,2,1
175,0,31,0,3,Married,20,71,542,24788,4559,11,Life Sciences,Sales,Sales Executive,3,80,1,Travel_Rarely,2,1,3,1,3,2,3,3,4,2,2,2,2,2
176,1,41,1,1,Divorced,9,96,802,21196,8189,13,Life Sciences,Sales,Sales Executive,3,80,1,Travel_Rarely,2,1,3,3,3,3,3,3,12,9,3,0,7,7
177,1,26,0,1,Married,25,61,1355,8916,2942,23,Life Sciences,Human Resources,Human Resources,4,80,1,Travel_Rarely,3,0,3,3,4,3,3,1,8,8,1,5,7,7
178,1,36,1,2,Divorced,6,84,216,2819,4941,20,Medical,Research & Development,Manufacturing Director,4,80,2,Travel_Rarely,0,0,2,3,4,2,3,6,7,3,2,0,2,1
179,0,51,1,4,Single,8,53,1150,25150,10650,15,Life Sciences,Research & Development,Manufacturing Director,3,80,0,Travel_Frequently,2,0,4,1,4,1,3,2,18,4,3,0,2,3
182,1,39,0,4,Married,4,47,1329,14590,5902,14,Life Sciences,Sales,Sales Executive,3,80,1,Travel_Rarely,1,0,3,2,3,4,4,4,17,15,2,5,11,9
183,1,25,1,3,Married,28,41,959,24835,8639,18,Life Sciences,Sales,Sales Executive,3,80,0,Travel_Rarely,3,0,3,2,4,1,3,2,6,2,2,2,2,2
184,1,30,1,3,Married,9,48,1240,13982,6347,19,Human Resources,Human Resources,Human Resources,3,80,0,Travel_Rarely,2,1,4,3,4,3,1,0,12,11,2,4,9,7
190,0,32,0,3,Single,9,41,1033,10224,4200,22,Medical,Research & Development,Laboratory Technician,4,80,0,Travel_Rarely,2,0,1,3,1,1,4,7,10,5,1,0,4,4
192,1,45,1,3,Single,29,83,1316,9752,3452,13,Medical,Research & Development,Research Scientist,3,80,0,Travel_Rarely,2,0,4,3,2,3,2,5,9,6,1,0,5,3
193,1,38,0,5,Single,3,32,364,2302,4317,20,Technical Degree,Research & Development,Research Scientist,4,80,0,Travel_Rarely,2,1,3,3,2,4,3,3,19,3,2,2,2,2
194,1,30,0,3,Single,18,75,438,23910,2632,14,Life Sciences,Research & Development,Research Scientist,3,80,0,Travel_Rarely,4,0,3,3,3,1,2,1,5,5,1,0,4,4
195,1,32,1,2,Divorced,9,35,689,22812,4668,17,Medical,Sales,Sales Executive,3,80,3,Travel_Frequently,2,0,4,1,4,4,4,0,9,8,2,0,7,7
197,1,30,0,3,Divorced,5,84,201,10415,3204,14,Technical Degree,Research & Development,Research Scientist,3,80,1,Travel_Rarely,3,0,1,3,4,4,3,5,8,3,1,2,2,2
198,1,30,1,1,Single,2,35,1427,11162,2720,13,Medical,Research & Development,Laboratory Technician,3,80,0,Travel_Rarely,3,0,4,2,4,2,3,0,6,5,1,1,3,2
199,1,41,1,3,Divorced,10,91,857,12888,17181,13,Life Sciences,Research & Development,Manager,3,80,1,Travel_Frequently,2,0,1,2,2,4,2,4,21,7,4,7,6,7
200,1,41,1,4,Married,9,94,933,6961,2238,21,Life Sciences,Research & Development,Laboratory Technician,4,80,1,Travel_Rarely,2,0,1,3,4,3,3,2,7,5,1,1,0,4
201,1,19,0,1,Single,3,79,1181,16102,1483,14,Medical,Research & Development,Laboratory Technician,3,80,0,Travel_Rarely,3,0,2,3,4,2,3,1,1,1,1,0,0,0
202,1,40,0,3,Divorced,26,54,1395,8504,5605,11,Medical,Research & Development,Research Scientist,3,80,1,Travel_Frequently,2,0,2,3,1,2,3,1,20,20,2,2,7,13
